ID,name,wins,losses,goals_for,goals_against
1,Boston Bruins,44,24,299,264
2,Buffalo Sabres,31,30,292,278
3,Calgary Flames,46,26,344,263
4,Chicago Blackhawks,49,23,284,211
5,Detroit Red Wings,34,38,273,298
6,Edmonton Oilers,37,37,272,272
7,Hartford Whalers,31,38,238,276
8,Los Angeles Kings,46,24,340,254
9,Minnesota North Stars,27,39,256,266
10,Montreal Canadiens,39,30,273,249
11,New Jersey Devils,32,33,272,264
12,New York Islanders,25,45,223,290
13,New York Rangers,36,31,297,265
14,Philadelphia Flyers,33,37,252,267
15,Pittsburgh Penguins,41,33,342,305
16,Quebec Nordiques,16,50,236,354
17,St. Louis Blues,47,22,310,250
18,Toronto Maple Leafs,23,46,241,318
19,Vancouver Canucks,28,43,243,315
20,Washington Capitals,37,36,258,258
21,Winnipeg Jets,26,43,260,288
22,Boston Bruins,36,32,270,275
23,Buffalo Sabres,31,37,289,299
24,Calgary Flames,31,37,296,305
25,Chicago Blackhawks,36,29,257,236
26,Detroit Red Wings,43,25,320,256
27,Edmonton Oilers,36,34,295,297
28,Hartford Whalers,26,41,247,283
29,Los Angeles Kings,35,31,287,296
30,Minnesota North Stars,32,42,246,278
31,Montreal Canadiens,41,28,267,207
32,New Jersey Devils,38,31,289,259
33,New York Islanders,34,35,291,299
34,New York Rangers,50,25,321,246
35,Philadelphia Flyers,32,37,252,273
36,Pittsburgh Penguins,39,32,343,308
37,Quebec Nordiques,20,48,255,318
38,San Jose Sharks,17,58,219,359
39,St. Louis Blues,36,33,279,266
40,Toronto Maple Leafs,30,43,234,294
41,Vancouver Canucks,42,26,285,250
42,Washington Capitals,45,27,330,275
43,Winnipeg Jets,33,32,251,244
44,Boston Bruins,51,26,332,268
45,Buffalo Sabres,38,36,335,297
46,Calgary Flames,43,30,322,282
47,Chicago Blackhawks,47,25,279,230
48,Detroit Red Wings,47,28,369,280
49,Edmonton Oilers,26,50,242,337
50,Hartford Whalers,26,52,284,369
51,Los Angeles Kings,39,35,338,340
52,Minnesota North Stars,36,38,272,293
53,Montreal Canadiens,48,30,326,280
54,New Jersey Devils,40,37,308,299
55,New York Islanders,40,37,335,297
56,New York Rangers,34,39,304,308
57,Ottawa Senators,10,70,202,395
58,Philadelphia Flyers,36,37,319,319
59,Pittsburgh Penguins,56,21,367,268
60,Quebec Nordiques,47,27,351,300
61,San Jose Sharks,11,71,218,414
62,St. Louis Blues,37,36,282,278
63,Tampa Bay Lightning,23,54,245,332
64,Toronto Maple Leafs,44,29,288,241
65,Vancouver Canucks,46,29,346,278
66,Washington Capitals,43,34,325,286
67,Winnipeg Jets,40,37,322,320
68,Mighty Ducks of Anaheim,33,46,229,251
69,Boston Bruins,42,29,289,252
70,Buffalo Sabres,43,32,282,218
71,Calgary Flames,42,29,302,256
72,Chicago Blackhawks,39,36,254,240
73,Dallas Stars,42,29,286,265
74,Detroit Red Wings,46,30,356,275
75,Edmonton Oilers,25,45,261,305
76,Florida Panthers,33,34,233,233
77,Hartford Whalers,27,48,227,288
78,Los Angeles Kings,27,45,294,322
79,Montreal Canadiens,41,29,283,248
80,New Jersey Devils,47,25,306,220
81,New York Islanders,36,36,282,264
82,New York Rangers,52,24,299,231
83,Ottawa Senators,14,61,201,397
84,Philadelphia Flyers,35,39,294,314
85,Pittsburgh Penguins,44,27,299,285
86,Quebec Nordiques,34,42,277,292
87,San Jose Sharks,33,35,252,265
88,St. Louis Blues,40,33,270,283
89,Tampa Bay Lightning,30,43,224,251
90,Toronto Maple Leafs,43,29,280,243
91,Vancouver Canucks,41,40,279,276
92,Washington Capitals,39,35,277,263
93,Winnipeg Jets,24,51,245,344
94,Mighty Ducks of Anaheim,16,27,125,164
95,Boston Bruins,27,18,150,127
96,Buffalo Sabres,22,19,130,119
97,Calgary Flames,24,17,163,135
98,Chicago Blackhawks,24,19,156,115
99,Dallas Stars,17,23,136,135
100,Detroit Red Wings,33,11,180,117
101,Edmonton Oilers,17,27,136,183
102,Florida Panthers,20,22,115,127
103,Hartford Whalers,19,24,127,141
104,Los Angeles Kings,16,23,142,174
105,Montreal Canadiens,18,23,125,148
106,New Jersey Devils,22,18,136,121
107,New York Islanders,15,28,126,158
108,New York Rangers,22,23,139,134
109,Ottawa Senators,9,34,117,174
110,Philadelphia Flyers,28,16,150,132
111,Pittsburgh Penguins,29,16,181,158
112,Quebec Nordiques,30,13,185,134
113,San Jose Sharks,19,25,129,161
114,St. Louis Blues,28,15,178,135
115,Tampa Bay Lightning,17,28,120,144
116,Toronto Maple Leafs,21,19,135,146
117,Vancouver Canucks,18,18,153,148
118,Washington Capitals,22,18,136,120
119,Winnipeg Jets,16,25,157,177
120,Mighty Ducks of Anaheim,35,39,234,247
121,Boston Bruins,40,31,282,269
122,Buffalo Sabres,33,42,247,262
123,Calgary Flames,34,37,241,240
124,Chicago Blackhawks,40,28,273,220
125,Colorado Avalanche,47,25,326,240
126,Dallas Stars,26,42,227,280
127,Detroit Red Wings,62,13,325,181
128,Edmonton Oilers,30,44,240,304
129,Florida Panthers,41,31,254,234
130,Hartford Whalers,34,39,237,259
131,Los Angeles Kings,24,40,256,302
132,Montreal Canadiens,40,32,265,248
133,New Jersey Devils,37,33,215,202
134,New York Islanders,22,50,229,315
135,New York Rangers,41,27,272,237
136,Ottawa Senators,18,59,191,291
137,Philadelphia Flyers,45,24,282,208
138,Pittsburgh Penguins,49,29,362,284
139,San Jose Sharks,20,55,252,357
140,St. Louis Blues,32,34,219,248
141,Tampa Bay Lightning,38,32,238,248
142,Toronto Maple Leafs,34,36,247,252
143,Vancouver Canucks,32,35,278,278
144,Washington Capitals,39,32,234,204
145,Winnipeg Jets,36,40,275,291
146,Mighty Ducks of Anaheim,36,33,245,233
147,Boston Bruins,26,47,234,300
148,Buffalo Sabres,40,30,237,208
149,Calgary Flames,32,41,214,239
150,Chicago Blackhawks,34,35,223,210
151,Colorado Avalanche,49,24,277,205
152,Dallas Stars,48,26,252,198
153,Detroit Red Wings,38,26,253,197
